chengyu,mot_clef,literal_keyword_category,label_principal,labels_secondaires,justification,source_label
风口浪尖,口,身体部位,危险/困境,舆论;社会压力,比喻处在最危险或矛盾最尖锐的位置，核心是处境，而非“口”的字面意义,artificial
,,,,,,
祸从口出,口,身体部位,言语/表达,危险;后果;谨慎,表示灾祸因说话不慎而起，核心是言语行为带来的后果，而非器官,artificial
,,,,,,
交口称誉,口,身体部位,社会评价/声誉,称赞;舆论,表示众人一致称赞，核心是集体正面评价，而非“口”,artificial
,,,,,,
金口玉言,口,身体部位,言语/表达,权威;智慧,表示话语珍贵且具有权威性或智慧，核心是评价内容，而非器官,artificial
,,,,,,
绝口不道,口,身体部位,沉默/保密,言语;回避,表示完全不提某事，核心是回避或沉默，而非言语行为本身,artificial
,,,,,,
口碑载道,口,身体部位,社会评价/声誉,称赞;广泛传播,表示赞誉广泛流传，核心是社会评价，而非“口”的字面意义,artificial
,,,,,,
口不言钱,口,身体部位,品格/态度,廉洁;克制,表示不谈钱，体现一种克制或清高态度，而非言语行为本身,artificial
,,,,,,
口不应心,口,身体部位,心理/认知冲突,言语;不一致,表示说的话与内心想法不一致，核心是心理与表达的冲突,artificial
,,,,,,
口齿伶俐,口;齿,身体部位,言语/表达能力,流利;机敏,表示说话流畅、反应敏捷，核心是语言能力，而非器官本身,artificial
,,,,,,
口出狂言,口,身体部位,言语/表达,冲动;不当言论,表示说出狂妄或不当的话，核心是言语行为的失控或不当性,artificial
,,,,,,
口恶心善,口,身体部位,品格/性格,善良;直率,表示说话尖刻但内心善良，核心是性格评价，而非言语或器官,artificial
,,,,,,
口耳之学,口;耳,身体部位,知识/认知,不可靠;浅薄,表示通过听闻获得的浅薄知识，核心是知识来源与可靠性，而非器官,artificial
,,,,,,
口干舌燥,口;舌,身体部位,身体/生理状态,疲劳;过度言语,表示口干舌燥的状态，可由说话过多引起，核心是生理状态,artificial
,,,,,,
口讲指画,口;指,身体部位,言语/表达方式,动作辅助;说明,表示边说边用手势说明，核心是表达方式，而非器官,artificial
,,,,,,
口角春风,口,身体部位,社会评价/人际关系,称赞;支持,表示替人说好话或为人美言，核心是正面评价与人际行为,artificial
,,,,,,
口角生风,口,身体部位,言语/表达能力,流利;熟练,表示说话流畅自如，核心是语言能力，而非“风”或器官,artificial
,,,,,,
口口声声,口,身体部位,言语/表达,重复;强调,表示不断重复强调某事，核心是表达方式，而非器官,artificial
,,,,,,
口蜜腹剑,口,身体部位,道德/品格,虚伪;阴险,表示表面友好内心阴险，核心是品格评价，而非字面意象,artificial
,,,,,,
口如悬河,口,身体部位,言语/表达能力,流畅;雄辩,表示说话滔滔不绝，核心是表达能力，而非“河”的比喻,artificial
,,,,,,
口是心非,口,身体部位,心理/认知冲突,虚伪;不一致,表示言语与内心不一致，核心是心理与表达的冲突,artificial
,,,,,,
口说无凭,口,身体部位,认知/证据,不可靠;缺乏证据,表示仅凭口说没有证据，核心是认知与证据问题,artificial
,,,,,,
口血未干,口,身体部位,道德/行为评价,背信;违约,表示刚刚立誓就违背承诺，核心是道德行为，而非字面“血”,artificial
,,,,,,
口燥唇干,口;唇,身体部位,身体/生理状态,疲劳;徒劳言语,表示因说话过多而口干，也可引申为徒劳劝说,artificial
,,,,,,
口中雌黄,口,身体部位,言语/表达,随意;不负责任,表示说话随意、不负责任，核心是言语行为评价,artificial
,,,,,,
口诛笔伐,口;笔,身体部位/工具,言语/表达,批评;攻击,表示通过言语和文字进行批评攻击，核心是表达行为,artificial
,,,,,,
苦口婆心,口,身体部位,行为/态度,劝导;关怀,表示耐心反复劝导他人，核心是行为态度，而非“口”本身,artificial
,,,,,,
脍炙人口,口,身体部位,社会评价/声誉,流行;广泛传播;称赞,表示作品或事物广为流传、深受喜爱，核心是社会评价，而非“口”的字面意义,artificial
,,,,,,
琅琅上口,口,身体部位,言语/表达特性,流畅;易读,表示读起来顺口流畅，核心是语言形式特性，而非器官,artificial
,,,,,,
良药苦口,口,身体部位,认知/价值判断,劝诫;真理;负面感受,表示有益的忠告往往难以接受，核心是认知与价值判断，而非味觉或器官,artificial
,,,,,,
骂不绝口,口,身体部位,言语/表达,攻击;持续;负面评价,表示不断辱骂他人，核心是言语攻击行为，而非器官,artificial
,,,,,,
满口称赞,口,身体部位,社会评价/声誉,称赞;积极评价,表示不断称赞某人或某事，核心是正面评价，而非“口”,artificial
,,,,,,
免开尊口,口,身体部位,行为/交际策略,礼貌;拒绝;替代行动,表示不必开口请求，对方会主动完成，核心是交际行为，而非器官,artificial
,,,,,,
讷口敏行,口,身体部位,行为/品格,少言;行动力强,表示说话少但行动敏捷，核心是行为与品格对比,artificial
,,,,,,
讷口少言,口,身体部位,行为/品格,沉默;内敛,表示少言寡语，核心是性格或行为特征，而非器官,artificial
,,,,,,
弄口鸣舌,口;舌,身体部位,言语/行为,挑拨;制造矛盾,表示用言语挑拨离间，核心是社会行为，而非器官动作,artificial
,,,,,,
贫嘴薄舌,嘴;舌,身体部位,言语/表达,尖刻;多话;负面评价,表示说话尖刻或爱插嘴，核心是言语行为评价,artificial
,,,,,,
破口大骂,口,身体部位,言语/表达,攻击;情绪失控;辱骂,表示情绪激烈地辱骂他人，核心是言语攻击行为,artificial
,,,,,,
钳口不言,口,身体部位,沉默/保密,回避;压抑表达,表示紧闭不言，核心是沉默行为，而非器官,artificial
,,,,,,
七嘴八舌,嘴;舌,身体部位,言语/表达,混乱;多人发言;嘈杂,表示多人同时说话，核心是表达混乱状态,artificial
,,,,,,
轻口薄舌,口;舌,身体部位,言语/表达,轻率;尖刻;负面评价,表示说话轻率或带讽刺意味，核心是言语态度,artificial
,,,,,,
人多嘴杂,嘴,身体部位,社会/群体行为,意见分歧;复杂性,表示人多意见杂乱，核心是群体互动，而非器官,artificial
,,,,,,
任口胡说,口,身体部位,言语/表达,随意;不负责任;错误信息,表示随意胡说、不加思考地说话，核心是言语行为的不负责任，而非“口”的字面意义,artificial
,,,,,,
如出一口,口,身体部位,言语/表达,一致;统一意见,表示大家说法一致，核心是表达一致性，而非器官,artificial
,,,,,,
三缄其口,口,身体部位,沉默/保密,克制;谨慎,表示极力保持沉默、不发言，核心是行为控制，而非器官,artificial
,,,,,,
杀人灭口,口,身体部位,行为/暴力行为,掩盖;消除证据,表示通过杀人来消除证据或隐瞒真相，核心是行为目的，而非“口”,artificial
,,,,,,
矢口不移,口,身体部位,言语/表达,坚持;不改变,表示在言语上坚持原说法，核心是态度与立场，而非器官,artificial
,,,,,,
矢口抵赖,口,身体部位,言语/表达,否认;推卸责任,表示坚决否认事实或责任，核心是言语行为与态度,artificial
,,,,,,
守口如瓶,口,身体部位,沉默/保密,谨慎;守密,表示严守秘密不泄露，核心是行为控制，而非器官,artificial
,,,,,,
授人口实,口,身体部位,社会/交互行为,被批评;被攻击;失误,表示给他人提供批评或攻击的依据，核心是社会互动后果,artificial
,,,,,,
素口骂人,口,身体部位,言语/表达,攻击;虚伪;负面评价,表示口头辱骂他人或言行不一致，核心是言语行为评价,artificial
,,,,,,
笑口常开,口,身体部位,情绪/状态,愉快;友好,表示经常面带笑容，核心是情绪状态，而非器官,artificial
,,,,,,
信口开河,口,身体部位,言语/表达,随意;夸张;不真实,表示随意说话、夸大其词，核心是言语行为失控,artificial
,,,,,,
哑口无言,口,身体部位,困境/无言以对,惊讶;无法回应,表示无话可说或无法回应，核心是处境，而非器官,artificial
,,,,,,
掩口而笑,口,身体部位,行为/情绪表达,含蓄;克制;愉悦,表示掩口而笑，核心是表达方式与情绪，而非器官,artificial
,,,,,,
养家糊口,口,身体部位,经济/生存行为,家庭责任;谋生,表示维持家庭生计，核心是经济行为，而非“口”,artificial
,,,,,,
一口咬定,口,身体部位,言语/表达,坚持;立场;不改变,表示在言语上坚持某种说法或立场不改变，核心是态度，而非“咬”的字面意义,artificial
,,,,,,
引为口实,口,身体部位,社会/交互行为,借口;利用;辩解,表示把某事作为借口或依据加以利用，核心是社会行为，而非器官,artificial
,,,,,,
油嘴滑舌,嘴;舌,身体部位,言语/表达,虚伪;花言巧语;负面评价,表示说话油滑、不真诚，核心是言语态度评价，而非器官,artificial
,,,,,,
有口难辩,口,身体部位,困境/无辩解能力,言语;表达;受限,表示难以为自己辩解或表达真实想法，核心是处境，而非“口”,artificial
,,,,,,
砸嘴弄舌,嘴;舌,身体部位,言语/表达,花言巧语;炫耀;不真实,表示用言语夸饰或卖弄，核心是表达行为，而非器官动作,artificial
,,,,,,
张口结舌,口;舌,身体部位,困境/无言以对,惊讶;无法回应,表示因惊讶或无措而说不出话，核心是心理与处境，而非器官,artificial
,,,,,,
众口难调,口,身体部位,社会/群体行为,意见分歧;难以满足,表示难以满足所有人的不同意见，核心是群体互动,artificial
,,,,,,
众口烁金,口,身体部位,社会/认知影响,舆论;影响力;谣言,表示众人之言可以形成强大影响甚至改变认知，核心是舆论作用,artificial
,,,,,,
众口一词,口,身体部位,言语/表达,一致;统一意见,表示大家说法一致，核心是表达一致性,artificial
,,,,,,
众口纷纭,口,身体部位,言语/表达,混乱;多种说法;不一致,表示众说纷纭、意见不一，核心是表达多样性与混乱,artificial
,,,,,,
嘴上无毛,嘴,身体部位,身份/年龄评价,年轻;缺乏经验,表示年纪轻或缺乏经验，核心是社会评价，而非外貌本身,artificial
,,,,,,
赤膊上阵,膊,身体部位,行为/行动,直接;公开;无掩饰,表示直接投入行动或公开参与，核心是行为方式，与“口”无关,artificial
,,,,,,
割臂之盟,臂,身体部位,社会/关系行为,承诺;忠诚;秘密关系,表示通过誓约建立忠诚或亲密关系，核心是社会关系行为，而非身体动作,artificial
,,,,,,
使臂使指,臂;指,身体部位,行为/能力,控制;指挥;高效,表示指挥自如、运用灵活，核心是能力与控制，而非身体部位,artificial
,,,,,,
失之交臂,臂,身体部位,机会/结果,错过;遗憾,表示错失机会，核心是事件结果，而非“臂”的字面意义,artificial
,,,,,,
一臂之力,臂,身体部位,社会/合作行为,帮助;支持,表示给予帮助或支持，核心是社会互动行为，而非身体力量,artificial
,,,,,,
髀肉复生,髀;肉,身体部位,状态/人生处境,懒散;虚度时间,表示因无所事事而虚度光阴，核心是人生状态，而非身体变化,artificial
,,,,,,
冰肌玉骨,肌;骨,身体部位,外貌/审美评价,美丽;纯洁,表示外貌洁白美丽，核心是审美评价，而非字面身体结构,artificial
,,,,,,
酒池肉林,肉,食物/身体元素,社会/行为方式,放纵;奢靡;享乐,表示生活奢侈放纵，核心是行为方式，而非食物本身,artificial
,,,,,,
酒肉朋友,肉,食物/身体元素,社会/关系类型,浅薄关系;享乐关系,表示只在吃喝玩乐中交往的朋友，核心是关系类型,artificial
,,,,,,
沦肌浃髓,肌;髓,身体部位,心理/感受,深刻影响;强烈体验,表示影响或感受极其深刻，核心是心理体验，而非身体,artificial
,,,,,,
肉食者鄙,肉,食物/身体元素,社会/身份评价,权贵;狭隘;无能,表示当权者见识短浅，核心是社会评价，而非饮食行为,artificial
,,,,,,
弱肉强食,肉,食物/身体元素,社会/自然法则,竞争;强者优势,表示弱者被强者压制的规律，核心是抽象法则，而非字面“肉”,artificial
,,,,,,
肉袒面缚,肉,身体部位,行为/社会行为,投降;认错;屈服,表示主动认输或谢罪，核心是行为与态度，而非身体动作,artificial
,,,,,,
肉眼凡胎,肉;眼,身体部位,认知/能力评价,普通;局限;无洞察力,表示凡人眼光有限，核心是认知能力，而非身体结构,artificial
,,,,,,
食肉寝皮,肉;皮,身体部位/食物,情绪/态度,仇恨;报复,表示对敌人怀有极深的仇恨，甚至希望其灭亡，核心是情绪与态度，而非字面行为,artificial
,,,,,,
剜肉补疮,肉,身体部位,行为/问题处理,错误方法;短视;负面后果,表示用错误的方法解决问题，反而带来更坏结果，核心是策略问题，而非身体动作,artificial
,,,,,,
白发苍苍,发,身体部位,外貌/年龄特征,衰老;年老,表示头发花白，象征年老，核心是年龄状态，而非单纯外貌描写,artificial
,,,,,,
白发红颜,发,身体部位,外貌/年龄评价,健康;反差;活力,表示年老但面色红润，核心是状态反差与健康评价,artificial
,,,,,,
发指眦裂,发;眦,身体部位,情绪/状态,愤怒;极端情绪,表示极度愤怒，核心是情绪状态，而非身体变化,artificial
,,,,,,
燎发摧枯,发,身体部位,能力/结果,轻易;高效;压倒性,表示轻松战胜对手或完成任务，核心是结果与能力，而非动作,artificial
,,,,,,
令人发指,发,身体部位,情绪/社会评价,愤怒;震惊;谴责,表示事情令人极度愤怒或震惊，核心是情绪反应与社会评价,artificial
,,,,,,
怒发冲冠,发,身体部位,情绪/状态,愤怒;激烈,表示愤怒到极点，核心是情绪强度，而非身体描写,artificial
,,,,,,
发短心长,发,身体部位,认知/能力评价,经验;智慧;成熟,表示虽年老但富有经验和智慧，核心是认知能力,artificial
,,,,,,
捉襟见肘,肘,身体部位,困境/资源不足,困难;不足;局限,表示资源不足或处境窘迫，核心是困境,artificial
,,,,,,
包藏祸心,心,身体部位,道德/品格,恶意;阴谋;不良动机,表示内心怀有恶意或阴谋，核心是心理与品格,artificial
,,,,,,
别具匠心,心,身体部位,评价/创造力,独创性;创新;设计感,表示具有独特创意，核心是创造力评价，而非“心”,artificial
,,,,,,
别有用心,心,身体部位,意图/动机,隐藏目的;不良动机;算计,表示另有企图，核心是动机层面,artificial
,,,,,,
不得人心,心,身体部位,社会/评价,不受欢迎;失去支持;负面声誉,表示不被大众接受，核心是社会评价,artificial
,,,,,,
财迷心窍,心,身体部位,心理/状态,贪婪;被欲望控制;失去理智,表示被金钱迷惑，核心是心理状态,artificial
,,,,,,
恻隐之心,心,身体部位,情感/道德情感,同情;怜悯;共情,表示对他人的怜悯之情，核心是情感,artificial
,,,,,,
茶饭无心,心,身体部位,心理/状态,心不在焉;忧虑;情绪低落,表示没有心思做事，核心是心理状态,artificial
,,,,,,
敞开心扉,心,身体部位,言语/表达,坦诚;开放;情感表达,表示坦率表达内心，核心是表达方式,artificial
,,,,,,
臣心如水,心,身体部位,道德/品格,清廉;正直;无私,表示内心纯净，核心是道德品质,artificial
,,,,,,
称心如意,心,身体部位,情感/状态,满足;如愿;幸福感,表示事情符合心意，核心是情感状态,artificial
,,,,,,
诚心诚意,心,身体部位,态度/品格,真诚;诚恳;无虚假,表示态度真诚，核心是行为态度,artificial
,,,,,,
痴心妄想,心,身体部位,认知/错误认知,幻想;不切实际;非理性期望,表示不现实的幻想，核心是认知错误,artificial
,,,,,,
赤子之心,心,身体部位,品格/情感,纯真;善良;真诚,表示纯洁无邪的心，核心是品格,artificial
,,,,,,
赤心报国,心,身体部位,社会/价值观,爱国;忠诚;责任感,表示对国家忠诚，核心是价值观,artificial
,,,,,,
处心积虑,心,身体部位,认知/策略,谋划;算计;长期计划,表示长期精心策划，核心是认知策略,artificial
,,,,,,
椎心泣血,心,身体部位,情感/强烈情绪,悲痛;极度痛苦;哀伤,表示极度悲伤与痛苦，核心是情感强度，而非“心”,artificial
,,,,,,
从心所欲,心,身体部位,行为/自主性,随意;自由;按意愿行动,表示按照自己意愿行动，核心是行为自主性,artificial
,,,,,,
粗心大意,心,身体部位,认知/注意力,疏忽;不专心;粗心,表示缺乏注意力与谨慎，核心是认知状态,artificial
,,,,,,
摧心剖肝,心;肝,身体部位,情感/强烈情绪,痛苦;悲伤;精神折磨,表示极度痛苦，核心是情感体验,artificial
,,,,,,
大快人心,心,身体部位,情感/集体情绪,痛快;满意;公众认同,表示让大家感到痛快，核心是集体情绪,artificial
,,,,,,
大得人心,心,身体部位,社会/评价,受欢迎;获得支持;声望,表示广受欢迎，核心是社会评价,artificial
,,,,,,
大发善心,心,身体部位,情感/道德情感,善良;怜悯;同情,表示产生善意与同情，核心是道德情感,artificial
,,,,,,
悼心失图,心,身体部位,认知/决策受损,悲伤影响判断;计划失败,表示因悲伤导致判断失误，核心是认知受损,artificial
,,,,,,
得心应手,心;手,身体部位,能力/技能掌控,熟练;顺手;高效,表示做事得心应手，核心是能力水平,artificial
,,,,,,
掉以轻心,心,身体部位,认知/态度,轻视;疏忽;不重视,表示对事情不够重视，核心是态度问题,artificial
,,,,,,
定下决心,心,身体部位,认知/决策,决心;意志;坚定选择,表示做出坚定决定，核心是决策过程,artificial
,,,,,,
动人心魄,心,身体部位,情感/强烈情绪,震撼;感动;情绪冲击,表示情感上受到强烈震撼，核心是情感反应，而非“心”,artificial
,,,,,,
动人心弦,心,身体部位,情感/情绪触发,感动;共鸣;情绪唤起,表示引发内心共鸣，核心是情感触发机制,artificial
,,,,,,
独出心裁,心,身体部位,认知/创造力,创新;独特;构思新颖,表示构思独特，核心是创造力,artificial
,,,,,,
费尽心机,心,身体部位,认知/策略,谋划;算计;用尽手段,表示用尽各种方法达成目的，核心是策略性认知,artificial
,,,,,,
费心劳力,心,身体部位,行为/投入程度,付出;努力;辛苦,表示付出大量精力，核心是投入程度,artificial
,,,,,,
抚心自问,心,身体部位,认知/自我反思,反省;内省;自我审视,表示进行自我反思，核心是认知行为,artificial
,,,,,,
高下在心,心,身体部位,认知/判断,权衡;判断;内在把握,表示心中已有判断标准，核心是决策与判断,artificial
,,,,,,
攻心为上,心,身体部位,策略/心理战,心理影响;操控;战略,表示通过心理手段取胜，核心是策略而非“心”,artificial
,,,,,,
钩心斗角,心,身体部位,社会/人际关系,算计;争斗;勾心斗角,表示人与人之间的复杂争斗，核心是社会行为,artificial
,,,,,,
蛊惑人心,心,身体部位,认知/操控,误导;煽动;操纵思想,表示影响他人思想，核心是认知操控,artificial
,,,,,,
归心似箭,心,身体部位,情感/动机,思乡;急切;回归愿望,表示强烈的回归愿望，核心是情感动机,artificial
,,,,,,
鬼迷心窍,心,身体部位,认知/异常状态,迷惑;失去理智;执念,表示思维失常，核心是认知异常,artificial
,,,,,,
寒心酸鼻,心,身体部位,情感/负面情绪,悲伤;失望;痛苦,表示悲伤与失望，核心是情感,artificial
,,,,,,
好心好意,心,身体部位,情感/态度,善意;好意;真诚,表示出于善意，核心是情感态度,artificial
,,,,,,
怀恨在心,心,身体部位,情感/负面情绪,怨恨;记仇;不满,表示长期记恨，核心是情感状态,artificial
,,,,,,
灰心丧气,心,身体部位,情感/心理状态,沮丧;失去信心;消极,表示情绪低落，核心是心理状态,artificial
,,,,,,
回心转意,心,身体部位,认知/决策变化,改变主意;转变立场,表示改变决定，核心是认知过程,artificial
,,,,,,
会心一笑,心,身体部位,情感/认知共鸣,理解;默契;心领神会,表示彼此理解，核心是认知+情感共鸣,artificial
,,,,,,
蕙质兰心,心,身体部位,品格/气质,高雅;纯洁;美好品质,表示高尚品格，核心是品格评价,artificial
,,,,,,
计上心来,心,身体部位,认知/生成过程,灵感;突发想法;策略形成,表示突然想到办法，核心是认知生成,artificial
,,,,,,
觊觎之心,心,身体部位,动机/欲望,贪欲;觊觎;占有欲,表示不正当欲望，核心是动机,artificial
,,,,,,
见财起心,心,身体部位,动机/道德偏差,贪念;犯罪动机;诱惑,表示因利益产生恶念，核心是动机+道德,artificial
,,,,,,
见猎心喜,心,身体部位,情感/兴趣,热情;兴奋;兴趣激活,表示对熟悉事物产生兴趣，核心是情感,artificial
,,,,,,
江心补漏,心,身体部位,行为/时机错误,为时已晚;补救无效,表示补救太晚，核心是行为评价,artificial
,,,,,,
将心比心,心,身体部位,社会/伦理原则,同理心;换位思考;公平,表示设身处地，核心是社会伦理,artificial
,,,,,,
匠心独运,心,身体部位,认知/创造力,创新;独特设计;匠心,表示独特创意，核心是创造力,artificial
,,,,,,
降心相从,心,身体部位,社会/行为调整,让步;顺从;放弃立场,表示放弃自身意见顺从他人，核心是社会行为而非“心”,artificial
,,,,,,
锦心绣腹,心;腹,身体部位,认知/才华,文采;才华;表达能力,表示文采优美，核心是认知与表达能力,artificial
,,,,,,
尽心竭力,心,身体部位,行为/投入程度,尽力;努力;全力以赴,表示竭尽全力，核心是行为投入,artificial
,,,,,,
惊心动魄,心,身体部位,情感/强烈情绪,震撼;惊恐;强烈感受,表示极强的情绪冲击，核心是情感体验,artificial
,,,,,,
精心策划,心,身体部位,认知/规划,计划;设计;精细安排,表示精细策划，核心是认知规划,artificial
,,,,,,
居心叵测,心,身体部位,动机/道德评价,恶意;不良企图;隐藏动机,表示动机不良，核心是道德判断,artificial
,,,,,,
空心架子,心,身体部位,评价/本质特征,空洞;无实质;虚有其表,表示没有实际内容，核心是评价,artificial
,,,,,,
空心汤团,心,身体部位,评价/价值判断,空想;无收益;虚假承诺,表示表面好但无实际价值，核心是价值评价,artificial
,,,,,,
扣人心弦,心,身体部位,情感/触发机制,感动;吸引;情绪共鸣,表示引发强烈情感反应，核心是情感触发,artificial
,,,,,,
苦心经营,心,身体部位,行为/长期投入,努力;经营;持续付出,表示长期努力，核心是行为过程,artificial
,,,,,,
苦心孤诣,心,身体部位,认知/成就过程,钻研;专注;达到高水平,表示通过努力达到高成就，核心是认知与过程,artificial
,,,,,,
兰形棘心,心,身体部位,评价/表里不一,虚伪;外表美好内心恶劣,表示外表与内心不一致，核心是道德评价,artificial
,,,,,,
冷心冷面,心,身体部位,情感/态度,冷漠;无情;不动情,表示缺乏情感，核心是态度,artificial
,,,,,,
力不从心,心,身体部位,能力/限制,能力不足;力不从心;无能为力,表示能力无法满足意愿，核心是能力限制,artificial
,,,,,,
理亏心虚,心,身体部位,认知/心理状态,心虚;缺乏信心;有错在先,表示因理亏而不自信，核心是心理状态,artificial
,,,,,,
离心离德,心,身体部位,社会/关系状态,分裂;不忠;不一致,表示关系破裂，核心是社会关系,artificial
,,,,,,
利欲熏心,心,身体部位,动机/道德偏差,贪婪;利益驱动;道德沦丧,表示被利益驱动，核心是动机+道德,artificial
,,,,,,
良工心苦,心,身体部位,认知/创造过程,用心;精心;创作艰辛,表示创作投入与辛苦，核心是认知过程,artificial
,,,,,,
聊表寸心,心,身体部位,情感/表达程度,表达心意;有限表达;谦辞,表示略微表达情感，核心是表达程度而非“心”,artificial
,,,,,,
笼络人心,心,身体部位,社会/操控,拉拢;获取支持;影响他人,表示通过手段获取他人支持，核心是社会操控,artificial
,,,,,,
镂心刻骨,心;骨,身体部位,认知/记忆,深刻记忆;难忘;铭记,表示记忆深刻，核心是认知（记忆）,artificial
,,,,,,
戮力齐心,心,身体部位,社会/集体行为,合作;团结;共同努力,表示团结协作，核心是社会行为,artificial
,,,,,,
瞒心昧己,心,身体部位,道德/良知,违背良心;自欺;道德缺失,表示违背内心良知，核心是道德判断,artificial
,,,,,,
满怀信心,心,身体部位,心理/状态,自信;信念;积极态度,表示充满信心，核心是心理状态,artificial
,,,,,,
漫不经心,心,身体部位,认知/注意力,不专心;疏忽;不重视,表示缺乏注意，核心是认知状态,artificial
,,,,,,
昧己瞒心,心,身体部位,道德/良知,自欺;违背良心;掩饰真相,表示违背内心良知，核心是道德判断,artificial
,,,,,,
漠不关心,心,身体部位,情感/态度,冷漠;无关心;缺乏兴趣,表示对事物不关心，核心是情感态度,artificial
,,,,,,
木石心肠,心,身体部位,情感/性格特征,冷酷;无情;缺乏同情,表示情感冷漠，核心是性格特征,artificial
,,,,,,
木人石心,心,身体部位,情感/性格特征,冷漠;无情;缺乏同情,表示像木头石头一样无情，核心是性格冷漠,artificial
,,,,,,
呕心沥血,心,身体部位,行动/努力,付出巨大努力;辛苦工作;奉献,表示极大付出与努力，核心是行动与投入,artificial
,,,,,,
平心而论,心,身体部位,认知/判断,客观;公正;理性判断,表示客观评价，核心是认知判断,artificial
,,,,,,
平心静气,心,身体部位,心理/状态,冷静;平稳;控制情绪,表示保持冷静状态，核心是心理状态,artificial
,,,,,,
菩萨心肠,心,身体部位,情感/性格特征,善良;仁慈;同情心,表示心地善良，核心是性格特征,artificial
,,,,,,
沁人心脾,心;脾,身体部位,情感/体验,愉悦;舒适;感官享受,表示令人愉悦，核心是情感体验,artificial
,,,,,,
清心寡欲,心,身体部位,心理/状态,克制欲望;淡泊;清净,表示减少欲望，核心是心理状态,artificial
,,,,,,
全无心肝,心;肝,身体部位,道德/品格,残忍;无情;缺乏良知,表示无情无义，核心是道德评价,artificial
,,,,,,
全心全意,心,身体部位,行动/态度,全力以赴;专心;投入,表示完全投入，核心是行动态度,artificial
,,,,,,
人老心红,心,身体部位,性格/态度,热情;忠诚;积极,表示虽老但热情，核心是性格态度,artificial
,,,,,,
人心不古,心,身体部位,社会/道德评价,道德衰退;世风下降,表示社会风气变坏，核心是社会评价,artificial
,,,,,,
人心惶惶,心,身体部位,情感/状态,恐慌;焦虑;不安,表示群体恐慌，核心是情感状态,artificial
,,,,,,
人心所向,心,身体部位,社会/集体意志,公众意愿;支持;倾向,表示大众意志，核心是社会意志,artificial
,,,,,,
人心向背,心,身体部位,社会/态度,支持与反对;民意分化,表示人心取向，核心是社会态度,artificial
,,,,,,
柔心弱骨,心;骨,身体部位,性格特征,温和;柔弱;性格软弱,表示性格柔弱，核心是性格特征,artificial
,,,,,,
三心二意,心,身体部位,认知/决策状态,犹豫;不专一;动摇,表示不坚定，核心是决策状态,artificial
,,,,,,
丧心病狂,心,身体部位,道德/心理异常,极端残忍;疯狂;失去理性,表示极端恶劣行为，核心是道德+心理异常,artificial
,,,,,,
煞费苦心,心,身体部位,行动/努力,费尽心思;努力;策划,表示投入大量努力，核心是行动,artificial
,,,,,,
伤心惨目,心;目,身体部位,情感/体验,悲痛;惨烈;令人难受,表示令人悲痛，核心是情感体验,artificial
,,,,,,
赏心悦目,心;目,身体部位,情感/体验,愉悦;美感;视觉享受,表示令人愉悦，核心是情感体验,artificial
,,,,,,
深入人心,心,身体部位,认知/影响,影响深刻;被接受;传播,表示深入认知，核心是认知影响,artificial
