expression,mot_clef,literal_keyword_category,label_principal,labels_secondaires,label_main,label_final,labels,alimentation,apparence,autre,capacité,cognition,comportement,désir,langage,morale,problème,quantité_valeur,social,temps_espace,émotion,état_physique
retirer le pain de la bouche à quelqu’un,bouche,partie du corps,privation/injustice,pauvreté; survie,privation,privation,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
à bras ouverts,bras,partie du corps,accueil/chaleur humaine,hospitalité; affection,accueil,social,"['autre', 'social', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
avoir le bras long,bras,partie du corps,pouvoir/influence,réseau; autorité,pouvoir,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
avoir quelqu’un sur les bras,bras,partie du corps,charge/fardeau,responsabilité; contrainte,charge,charge,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
être dans les bras de Morphée,bras,partie du corps,sommeil/repos,rêve; état mental,sommeil,sommeil,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
être le bras droit de quelqu’un,bras,partie du corps,aide/fonction sociale,loyauté; hiérarchie,aide,aide,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
faire un bras d’honneur,bras,partie du corps,insulte/provocation,vulgarité; agressivité,insulte,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
jouer les gros bras,bras,partie du corps,intimidation/violence,domination; force,intimidation,intimidation,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
les bras m’en tombent,bras,partie du corps,surprise/stupeur,choc; incompréhension,surprise,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
se croiser les bras,bras,partie du corps,passivité/inaction,indifférence; refus d’agir,passivité,passivité,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tenir à bout de bras,bras,partie du corps,effort/soutien,responsabilité; persévérance,effort,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
bien en chair,chair,partie du corps,apparence physique,santé; corpulence,apparence physique,apparence,"['apparence', 'autre']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
en chair et en os,chair,partie du corps,présence réelle,matérialité; existence,présence réelle,présence réelle,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
arriver comme un cheveu sur la soupe,cheveu,partie du corps,incongruité,maladresse; gêne,incongruité,incongruité,"['autre', 'capacité']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
avoir mal aux cheveux,cheveux,partie du corps,état physique négatif,fatigue; alcool,état physique négatif,état_physique,"['autre', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
avoir les cheveux en bataille,cheveux,partie du corps,apparence négligée,désordre; fatigue,apparence négligée,apparence,"['apparence', 'autre', 'état_physique']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
avoir un cheveu sur la langue,cheveu,partie du corps,difficulté d’élocution,prononciation; parole,difficulté d’élocution,capacité,"['autre', 'capacité', 'langage']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
couper les cheveux en quatre,cheveux,partie du corps,excès de précision,complication; perfectionnisme,excès de précision,excès de précision,"['autre', 'problème']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
être à un cheveu de,cheveu,partie du corps,proximité imminente,risque; limite,proximité imminente,proximité imminente,"['autre', 'problème']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ne tenir qu’à un cheveu,cheveu,partie du corps,précarité,instabilité; fragilité,précarité,précarité,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s’arracher les cheveux,cheveux,partie du corps,stress/désespoir,inquiétude; frustration,stress,émotion,['émotion'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
saisir l’occasion par les cheveux,cheveux,partie du corps,opportunité/action,réactivité; décision,opportunité,opportunité,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
se crêper le chignon,chignon,partie du corps,conflit/dispute,tension; agressivité,conflit,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
se faire des cheveux blancs,cheveux,partie du corps,inquiétude/stress,anxiété; préoccupation,inquiétude,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
tirer par les cheveux,cheveux,partie du corps,invraisemblance,exagération; artificialité,invraisemblance,invraisemblance,"['autre', 'quantité_valeur']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
avoir l’âme chevillée au corps,cheville,partie du corps,instinct de survie,résistance; courage,instinct de survie,instinct de survie,"['autre', 'comportement', 'morale']",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
avoir les chevilles qui enflent,chevilles,partie du corps,orgueil/prétention,vanité; arrogance,orgueil,morale,"['autre', 'morale']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
être la cheville ouvrière,cheville,partie du corps,rôle essentiel,responsabilité; organisation,rôle essentiel,rôle essentiel,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
être en cheville avec quelqu’un,cheville,partie du corps,alliance/complicité,collaboration; entente,alliance,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ne pas remuer un cil,cil,partie du corps,impassibilité,calme; maîtrise de soi,impassibilité,impassibilité,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rire à s’en tenir les côtes,côtes,partie du corps,rire intense,joie; amusement,rire intense,rire intense,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
laisser la bride sur le cou de quelqu’un,cou,partie du corps,liberté/autonomie,confiance; absence de contrôle,liberté,liberté,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sauter au cou de quelqu’un,cou,partie du corps,affection,accueil; émotion,affection,émotion,"['social', 'émotion']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
se jeter au cou,cou,partie du corps,affection/réconciliation,émotion; enthousiasme,affection,émotion,['émotion'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
se mettre la corde au cou,cou,partie du corps,engagement contraignant,mariage; piège,engagement contraignant,comportement,"['autre', 'comportement', 'social']",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
tordre le cou à une idée,cou,partie du corps,réfutation,destruction; critique,réfutation,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
avoir des couilles au cul,couilles,partie du corps,courage,audace; virilité,courage,morale,"['autre', 'morale']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
casser les couilles à quelqu’un,couilles,partie du corps,agacement,importunité; irritation,agacement,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
partir en couilles,couilles,partie du corps,dégradation,désordre; échec,dégradation,problème,"['autre', 'problème']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
se faire des couilles en or,couilles,partie du corps,enrichissement,argent; profit,enrichissement,quantité_valeur,"['autre', 'quantité_valeur']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
être au coude à coude,coude,partie du corps,compétition équilibrée,égalité; rivalité,compétition équilibrée,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
garder sous le coude,coude,partie du corps,réserve,prudence; anticipation,réserve,réserve,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
huile de coude,coude,partie du corps,travail/effort,persévérance; énergie,travail,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
jouer des coudes,coudes,partie du corps,compétition/agressivité,passage; domination,compétition,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
lever le coude,coude,partie du corps,consommation d’alcool,ivresse; habitude,consommation d’alcool,alimentation,"['alimentation', 'autre']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
se tenir les coudes,coudes,partie du corps,solidarité,soutien; entraide,solidarité,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
aller droit au cœur,cœur,partie du corps,émotion sincère,sensibilité; affection,émotion sincère,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
arracher le cœur,cœur,partie du corps,douleur émotionnelle,tristesse; souffrance,douleur émotionnelle,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
avoir bon cœur,cœur,partie du corps,générosité,bonté; compassion,générosité,morale,"['autre', 'morale']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
avoir du cœur,cœur,partie du corps,courage,générosité; énergie,courage,morale,"['autre', 'morale']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
avoir le cœur barbouillé,cœur,partie du corps,malaise,nausée; dégoût,malaise,état_physique,"['émotion', 'état_physique']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
avoir le cœur au bord des lèvres,cœur,partie du corps,nausée,malaise; dégoût,nausée,état_physique,"['émotion', 'état_physique']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
avoir du cœur à l’ouvrage,cœur,partie du corps,application/motivation,travail; implication,application,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
avoir une pierre à la place du cœur,cœur,partie du corps,insensibilité,cruauté; froideur,insensibilité,insensibilité,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir le cœur bien accroché,cœur,partie du corps,résistance émotionnelle,courage; sang-froid,résistance émotionnelle,émotion,"['autre', 'morale', 'émotion']",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
avoir le cœur gros,cœur,partie du corps,tristesse,chagrin; émotion,tristesse,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
avoir le cœur sur la main,cœur,partie du corps,générosité,altruisme; bonté,générosité,morale,"['autre', 'morale']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
avoir mal au cœur,cœur,partie du corps,malaise physique,nausée; dégoût,malaise physique,état_physique,"['émotion', 'état_physique']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
prendre quelque chose à cœur,cœur,partie du corps,implication émotionnelle,sérieux; responsabilité,implication émotionnelle,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
avoir quelque chose sur le cœur,cœur,partie du corps,ressentiment,confession; émotion,ressentiment,émotion,"['langage', 'émotion']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
connaître par cœur,cœur,partie du corps,mémoire,apprentissage; maîtrise,mémoire,cognition,"['autre', 'capacité', 'cognition']",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
de bon cœur,cœur,partie du corps,bonne volonté,générosité; sincérité,bonne volonté,morale,['morale'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
donner du cœur au ventre,cœur,partie du corps,encouragement,courage; motivation,encouragement,encouragement,"['autre', 'morale']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
en avoir gros sur le cœur,cœur,partie du corps,tristesse/ressentiment,chagrin; émotion,tristesse,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
en avoir le cœur net,cœur,partie du corps,certitude,vérification; clarification,certitude,cognition,"['autre', 'cognition']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
enfoncer un couteau dans le cœur,cœur,partie du corps,souffrance émotionnelle,trahison; douleur,souffrance émotionnelle,émotion,"['autre', 'morale', 'émotion']",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
être de tout cœur avec quelqu’un,cœur,partie du corps,soutien,solidarité; empathie,soutien,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
être joli comme un cœur,cœur,partie du corps,beauté,charme; innocence,beauté,apparence,"['apparence', 'autre']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
faire battre le cœur,cœur,partie du corps,émotion/amour,excitation; passion,émotion,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
faire chaud au cœur,cœur,partie du corps,réconfort,joie; émotion positive,réconfort,réconfort,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
faire contre mauvaise fortune bon cœur,cœur,partie du corps,résignation positive,courage; adaptation,résignation positive,résignation positive,"['autre', 'morale']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
faire le joli cœur,cœur,partie du corps,séduction,coquetterie; affectation,séduction,séduction,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
le cri du cœur,cœur,partie du corps,sincérité,émotion; spontanéité,sincérité,morale,"['autre', 'morale', 'émotion']",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
lever le cœur,cœur,partie du corps,dégoût,nausée; rejet,dégoût,émotion,"['autre', 'émotion', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
ne pas avoir le cœur de faire quelque chose,cœur,partie du corps,hésitation émotionnelle,compassion; tristesse,hésitation émotionnelle,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ne pas porter quelqu’un dans son cœur,cœur,partie du corps,antipathie,rejet; hostilité,antipathie,antipathie,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
offrir son cœur,cœur,partie du corps,amour,attachement; affection,amour,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ouvrir son cœur,cœur,partie du corps,confession,sincérité; intimité,confession,langage,"['autre', 'langage', 'morale']",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
réchauffer le cœur de quelqu’un,cœur,partie du corps,réconfort,affection; bienveillance,réconfort,réconfort,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
retourner le cœur,cœur,partie du corps,dégoût,malaise; horreur,dégoût,émotion,"['autre', 'émotion', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
s’en donner à cœur joie,cœur,partie du corps,plaisir,liberté; enthousiasme,plaisir,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
serrer le cœur,cœur,partie du corps,tristesse,angoisse; émotion,tristesse,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
si le cœur vous en dit,cœur,partie du corps,envie,désir; choix,envie,désir,"['autre', 'désir']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
un bourreau des cœurs,cœur,partie du corps,séduction,conquête amoureuse; charme,séduction,séduction,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
un cœur de pierre,cœur,partie du corps,insensibilité,froideur; cruauté,insensibilité,insensibilité,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
un cœur d’or,cœur,partie du corps,générosité,bonté; altruisme,générosité,morale,"['autre', 'morale']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
un homme de cœur,cœur,partie du corps,valeur morale,générosité; honnêteté,valeur morale,morale,"['autre', 'morale']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
un coup de cœur,cœur,partie du corps,attachement soudain,préférence; émotion,attachement soudain,émotion,"['désir', 'émotion']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
une peine de cœur,cœur,partie du corps,souffrance amoureuse,tristesse; rupture,souffrance amoureuse,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
y aller de bon cœur,cœur,partie du corps,enthousiasme,bonne volonté; énergie,enthousiasme,émotion,"['autre', 'morale', 'émotion']",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
avoir le diable au corps,corps,partie du corps,agitation/énergie,désir; nervosité,agitation,agitation,"['autre', 'désir']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
corps et âme,corps,partie du corps,engagement total,dévouement; sincérité,engagement total,comportement,"['autre', 'comportement', 'morale']",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
couler corps et biens,corps,partie du corps,perte totale,destruction; disparition,perte totale,problème,"['autre', 'problème']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
pleurer toutes les larmes de son corps,corps,partie du corps,tristesse intense,désespoir; souffrance,tristesse intense,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
travailler quelqu’un au corps,corps,partie du corps,persuasion/influence,pression; manipulation,persuasion,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
avoir la cuisse légère,cuisse,partie du corps,comportement sexuel,légèreté; séduction,comportement sexuel,comportement sexuel,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
se croire sorti de la cuisse de Jupiter,cuisse,partie du corps,orgueil/prétention,supériorité; arrogance,orgueil,morale,"['autre', 'morale']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
avoir la dalle,dalle,partie du corps,faim,besoin physique; désir,faim,état_physique,"['autre', 'désir', 'état_physique']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
crever la dalle,dalle,partie du corps,faim extrême,misère; besoin,faim extrême,état_physique,"['autre', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
se rincer la dalle,dalle,partie du corps,consommation de boisson,plaisir; alcool,consommation de boisson,alimentation,"['alimentation', 'autre', 'émotion']",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
avoir la dalle en pente,dalle,partie du corps,consommation excessive,alcool; gourmandise,consommation excessive,alimentation,"['alimentation', 'autre', 'désir']",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
avoir les crocs,dents,partie du corps,faim,appétit; désir,faim,état_physique,"['autre', 'désir', 'état_physique']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
avoir une dent contre quelqu’un,dent,partie du corps,rancune,hostilité; ressentiment,rancune,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
avoir la dent dure,dent,partie du corps,critique sévère,agressivité; dureté,critique sévère,critique sévère,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir les dents du bonheur,dents,partie du corps,apparence physique,charme; singularité,apparence physique,apparence,"['apparence', 'autre']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir les dents longues,dents,partie du corps,ambition,convoitise; réussite,ambition,désir,"['autre', 'désir']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
avoir quelque chose à se mettre sous la dent,dent,partie du corps,nourriture,satisfaction minimale; besoin,nourriture,alimentation,"['alimentation', 'autre']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
claquer des dents,dents,partie du corps,froid/peur,tremblement; réaction physique,froid,état_physique,"['autre', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
creuser sa tombe avec ses dents,dents,partie du corps,autodestruction,excès; alimentation,autodestruction,autodestruction,"['alimentation', 'autre', 'quantité_valeur']",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
croquer à belles dents,dents,partie du corps,plaisir,appétit; gourmandise,plaisir,émotion,"['autre', 'désir', 'émotion']",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
dévorer la vie à belles dents,dents,partie du corps,joie de vivre,enthousiasme; intensité,joie de vivre,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
déchirer quelqu’un à belles dents,dents,partie du corps,attaque verbale,médisance; agressivité,attaque verbale,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
être armé jusqu’aux dents,dents,partie du corps,préparation intensive,force; défense,préparation intensive,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
grincer des dents,dents,partie du corps,colère/frustration,mécontentement; tension,colère,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
mentir comme un arracheur de dents,dents,partie du corps,mensonge,tromperie; exagération,mensonge,mensonge,"['autre', 'quantité_valeur']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
montrer les dents,dents,partie du corps,menace/agressivité,défense; intimidation,menace,problème,"['autre', 'problème']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ne pas desserrer les dents,dents,partie du corps,silence,rétention; refus de parler,silence,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
prendre la lune avec les dents,dents,partie du corps,illusion irréaliste,ambition impossible; naïveté,illusion irréaliste,cognition,"['autre', 'cognition']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
prendre le mors aux dents,dents,partie du corps,perte de contrôle,impulsivité; révolte,perte de contrôle,perte de contrôle,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
se casser les dents sur quelque chose,dents,partie du corps,échec,difficulté; obstacle,échec,problème,['problème'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
serrer les dents,dents,partie du corps,endurance,résistance; courage,endurance,capacité,"['capacité', 'comportement', 'morale']",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
avoir des doigts de fée,doigts,partie du corps,habileté,dextérité; talent,habileté,capacité,"['autre', 'capacité']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
à se lécher les doigts,doigts,partie du corps,plaisir gustatif,gourmandise; satisfaction,plaisir gustatif,alimentation,"['alimentation', 'désir', 'émotion']",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
connaître sur le bout des doigts,doigts,partie du corps,connaissance parfaite,mémoire; maîtrise,connaissance parfaite,cognition,"['capacité', 'cognition']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
croiser les doigts,doigts,partie du corps,espoir/souhait,chance; attente,espoir,émotion,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
être à deux doigts de,doigts,partie du corps,proximité imminente,risque; limite,proximité imminente,proximité imminente,"['autre', 'problème']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
il s’en est fallu d’un doigt,doigt,partie du corps,quasi-échec,proximité; hasard,quasi-échec,quasi-échec,"['autre', 'temps_espace']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
les doigts dans le nez,doigts,partie du corps,facilité,aisance; simplicité,facilité,facilité,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mettre le doigt dans l’engrenage,doigt,partie du corps,engagement dangereux,piège; dépendance,engagement dangereux,comportement,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
mettre le doigt entre l’arbre et l’écorce,doigt,partie du corps,ingérence,conflit; imprudence,ingérence,ingérence,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
mettre le doigt sur la plaie,doigt,partie du corps,sujet sensible,douleur; vérité,sujet sensible,sujet sensible,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mettre le doigt sur quelque chose,doigt,partie du corps,découverte,compréhension; intuition,découverte,découverte,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mon petit doigt m’a dit,doigt,partie du corps,source secrète,rumeur; information,source secrète,source secrète,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ne pas lever le petit doigt,doigt,partie du corps,passivité,paresse; refus d’aider,passivité,passivité,"['autre', 'comportement']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ne rien savoir faire de ses dix doigts,doigts,partie du corps,incompétence,incapacité; maladresse,incompétence,capacité,"['autre', 'capacité']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
obéir au doigt et à l’œil,doigt,partie du corps,obéissance,docilité; discipline,obéissance,obéissance,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
passer la bague au doigt,doigt,partie du corps,mariage,union; engagement,mariage,social,"['autre', 'social']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
s’en mordre les doigts,doigts,partie du corps,regret,remords; frustration,regret,regret,"['autre', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
se faire montrer du doigt,doigt,partie du corps,stigmatisation,critique sociale; honte,stigmatisation,social,"['autre', 'social', 'émotion']",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
se faire taper sur les doigts,doigts,partie du corps,réprimande,punition; avertissement,réprimande,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
se mettre le doigt dans l’œil,doigt,partie du corps,erreur de jugement,illusion; méprise,erreur de jugement,cognition,"['autre', 'cognition']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
avoir bon dos,dos,partie du corps,responsabilité injuste,accusation; exploitation,responsabilité injuste,responsabilité injuste,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
avoir le dos large,dos,partie du corps,tolérance/support,blâme; responsabilité,tolérance,tolérance,['autre'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
casser du sucre sur le dos de quelqu’un,dos,partie du corps,médisance,critique; moquerie,médisance,langage,"['autre', 'langage']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
derrière le dos de quelqu’un,dos,partie du corps,dissimulation,trahison; secret,dissimulation,dissimulation,"['autre', 'morale']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
en avoir plein le dos,dos,partie du corps,ras-le-bol,fatigue; exaspération,ras-le-bol,ras-le-bol,"['autre', 'émotion', 'état_physique']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
être le dos au mur,dos,partie du corps,situation critique,blocage; urgence,situation critique,problème,"['autre', 'problème']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
