expression,label_cls
faire du pied à quelqu’un,autre
faire les pieds à quelqu’un,autre
faire quelque chose comme un pied,capacité
faire quelque chose au pied levé,comportement
faire un appel du pied à quelqu’un,langage
d’arrache-pied,comportement
de pied ferme,comportement
donner un coup de pied dans la fourmilière,autre
être sur le pied de guerre,comportement
être pieds et poings liés,autre
être sur pied,comportement
lever le pied,temps_espace
mettre à pied,comportement
mettre au pied du mur,autre
mettre le pied à l’étrier à quelqu’un,social
mettre les pieds dans le plat,capacité
mettre sur pied,comportement
ne pas avoir deux pieds dans le même sabot,temps_espace
ne pas avoir le pied marin,état_physique
ne pas savoir sur quel pied danser,cognition
partir les pieds devant,autre
prendre au pied de la lettre,cognition
prendre le contre-pied,social
retomber sur ses pieds,autre
se lever du pied gauche,autre
trouver chaussure à son pied,émotion
tirer une épine du pied de quelqu’un,autre
un colosse aux pieds d’argile,autre
à un poil près,temps_espace
avoir un poil dans la main,comportement
caresser quelqu’un dans le sens du poil,autre
être de bon poil,émotion
être de mauvais poil,autre
ne plus avoir un poil sur le caillou,apparence
reprendre du poil de la bête,état_physique
se mettre à poil,autre
donner un coup de pouce à quelqu’un,social
manger sur le pouce,alimentation
se tourner les pouces,comportement
avoir les reins solides,comportement
casser les reins de,autre
une taille de guêpe,apparence
avoir quelque chose dans le sang,capacité
avoir du sang bleu,autre
glacer le sang à quelqu’un,émotion
mettre à feu et à sang,autre
se faire du mauvais sang,émotion
se ronger les sangs,émotion
avoir les sourcils en bataille,apparence
talon d’Achille,autre
tourner les talons,comportement
attaquer bille en tête,comportement
avoir du plomb dans la cervelle,cognition
avoir la grosse tête,morale
avoir la tête comme une passoire,cognition
avoir la tête de l’emploi,apparence
avoir la tête près du bonnet,émotion
avoir la tête sur les épaules,cognition
avoir ses têtes,désir
avoir toute sa tête,cognition
avoir un petit pois dans la tête,cognition
avoir un petit vélo dans la tête,désir
faire une tête d’enterrement,émotion
baisser la tête,social
bourrer le crâne de quelqu’un,autre
casser la tête à quelqu’un,émotion
coûter les yeux de la tête,quantité_valeur
chercher des poux dans la tête de quelqu’un,autre
enfoncer quelque chose dans la tête de quelqu’un,autre
être tombé sur la tête,autre
faire la tête,émotion
faire quelque chose à la tête du client,social
faire quelque chose sur un coup de tête,autre
faire sa mauvaise tête,social
faire tourner la tête de quelqu’un,autre
foncer tête baissée,problème
garder la tête froide,capacité
la tête à l’envers,cognition
la tête sur le billot,problème
manger la soupe sur la tête de quelqu’un,autre
mettre la tête au carré à quelqu’un,langage
monter à la tête,alimentation
n’en faire qu’à sa tête,autre
ne plus savoir où donner de la tête,cognition
par tête de pipe,autre
perdre la tête,autre
piquer une tête,autre
sans queue ni tête,cognition
se creuser la tête,autre
se jeter à la tête de,émotion
se payer la tête de quelqu’un,autre
se mettre martel en tête,désir
se monter la tête,cognition
se prendre la tête,problème
se taper la tête contre les murs,émotion
tenir tête à quelqu’un,comportement
un tête à tête,langage
une tête à claques,émotion
une tête de cochon,autre
une tête de turc,social
se saigner aux quatre veines,comportement
avoir les yeux plus grands que le ventre,désir
avoir quelque chose dans le ventre,morale
avoir le ventre creux,état_physique
se regarder le nombril,morale
ventre à terre,temps_espace
prendre des vessies pour des lanternes,cognition
échauffer la bile de quelqu’un,émotion
se faire de la bile,émotion
avoir un coup dans l’aile,problème
avoir la bosse de quelque chose,capacité
rouler sa bosse,autre
être un aigle,cognition
un regard d’aigle,autre
attendre que les alouettes tombent toutes rôties dans la bouche,cognition
un miroir aux alouettes,apparence
avoir une tête de mule,comportement
faire boire un âne qui n’a pas soif,problème
faute d’un point Martin perdit son âne,comportement
faire l’âne de Buridan,autre
faire l’âne pour avoir du son,autre
faire tourner en bourrique,émotion
le pont aux ânes,autre
méchant comme un âne rouge,morale
n’être ni âne ni cheval,autre
saoul comme une bourrique,alimentation
têtu comme une bourrique,comportement
un âne bâté,cognition
un bonnet d’âne,problème
avoir une araignée au plafond,autre
avoir un estomac d’autruche,autre
la politique de l’autruche,autre
rire comme une baleine,quantité_valeur
être une bécasse,cognition
chercher la petite bête,problème
être la bête noire de quelqu’un,autre
regarder quelqu’un comme une bête curieuse,cognition
avoir un bœuf sur la langue,langage
ça lui va comme un tablier à une vache,autre
être fort comme un bœuf,capacité
être fort comme un taureau,capacité
le plancher des vaches,temps_espace
manger de la vache enragée,autre
mettre la charrue avant les bœufs,autre
pleurer comme un veau,émotion
pleuvoir comme vache qui pisse,quantité_valeur
prendre le taureau par les cornes,morale
souffler comme un bœuf,comportement
un coup à assommer un bœuf,capacité
un vent à décorner les bœufs,autre
une période de vaches maigres,quantité_valeur
une peau de vache,morale
une vache à lait,quantité_valeur
canard boiteux,autre
être trempé comme un canard,état_physique
faire un canard,capacité
glisser comme de l’eau sur les plumes d’un canard,autre
marcher en canard,comportement
ne pas casser trois pattes à un canard,autre
prendre un canard,alimentation
un froid de canard,état_physique
être sobre comme un chameau,alimentation
acheter chat en poche,autre
appeler un chat un chat,langage
avoir d’autres chats à fouetter,autre
avoir un chat dans la gorge,capacité
de la bouillie pour les chats,cognition
donner sa langue au chat,cognition
écrire comme un chat,capacité
du pipi de chat,quantité_valeur
il n’y a pas un chat,autre
jeter le chat aux jambes de quelqu’un,problème
jouer au chat et à la souris avec quelqu’un,autre
le nid d’une souris dans l’oreille d’un chat,problème
pas de quoi fouetter un chat,autre
réveiller le chat qui dort,problème
une toilette de chat,comportement
une chatte n’y retrouverait pas ses petits,cognition
après bon vin bon cheval,morale
avoir une fièvre de cheval,état_physique
avoir mangé du cheval,autre
changer son cheval borgne pour un aveugle,problème
être à cheval sur quelque chose,autre
ne pas être un mauvais cheval,quantité_valeur
ne pas se trouver sous le pas d’un cheval,problème
un cheval de bataille,désir
un remède de cheval,autre
un cheval de Troie,autre
un cheval de retour,autre
un vrai cheval de labour,capacité
avoir du chien,autre
avoir un mal de chien,comportement
se donner un mal de chien,comportement
dormir en chien de fusil,autre
entre chien et loup,temps_espace
être chien,morale
être comme un chien dans un jeu de quilles,capacité
faire le chien couchant,social
garder un chien de sa chienne,émotion
malade comme un chien,état_physique
n’être bon qu’à jeter aux chiens,autre
ne pas attacher son chien avec des saucisses,morale
rubrique des chiens écrasés,autre
rompre les chiens,autre
s’entendre comme chien et chat,social
se regarder en chiens de faïence,autre
traiter quelqu’un comme un chien,autre
un caractère de chien,autre
un temps de chien,autre
une humeur de chien,émotion
une vie de chien,autre
donner de la confiture aux cochons,autre
jeter des perles aux pourceaux,autre
être copains comme cochons,social
jouer un tour de cochon,morale
manger comme un cochon,désir
ne pas avoir gardé les cochons ensemble,social
ni lard ni cochon,cognition
sale comme un cochon,comportement
du lard ou du cochon,cognition
un film cochon,autre
un travail de cochon,comportement
un vieux cochon,autre
une tête de cochon,autre
au chant du coq,temps_espace
avoir des jambes de coq,autre
avoir la chair de poule,émotion
faire le coq,morale
être rouge comme un coq,apparence
être comme un coq en pâte,état_physique
la bouche en cul de poule,apparence
le coq du village,autre
passer du coq à l’âne,cognition
quand les poules auront des dents,problème
une mère poule,émotion
une poule mouillée,morale
une poule qui a couvé des œufs de canard,autre
sauter du coq à l’âne,cognition
se lever avec les poules,comportement
tuer la poule aux œufs d’or,autre
bayer aux corneilles,cognition
marcher en crabe,capacité
un panier de crabes,social
marcher comme une écrevisse,capacité
des larmes de crocodile,morale
être le dindon de la farce,autre
avoir une mémoire d’éléphant,cognition
comme un éléphant dans un magasin de porcelaine,capacité
avancer comme un escargot,temps_espace
avoir des fourmis dans les jambes,état_physique
donner un coup de pied dans la fourmilière,autre
pulluler comme des fourmis,quantité_valeur
une vraie fourmi,autre
avoir un cou de girafe,apparence
une grenouille de bénitier,morale
faire le pied de grue,autre
être une grue,autre
faire la grue,capacité
pas folle la guêpe,cognition
un coup de pied dans un nid de guêpes,problème
ça ne vaut pas un pet de lapin,quantité_valeur
courir comme un lapin,comportement
poser un lapin à quelqu’un,autre
trouver le lièvre au gîte,autre
un chaud lapin,autre
faire le lézard,comportement
avoir mangé du lion,morale
à pas de loup,langage
avoir vu le loup,autre
être connu comme le loup blanc,social
être un jeune loup,désir
hurler avec les loups,autre
mettre le loup dans la bergerie,morale
se jeter dans la gueule du loup,autre
un froid de loup,état_physique
une faim de loup,état_physique
des pattes de mouches,capacité
écraser une mouche avec un marteau,quantité_valeur
être une fine mouche,cognition
faire d’une mouche un éléphant,quantité_valeur
faire la mouche du coche,autre
faire querelle sur un pied de mouche,autre
mourir comme des mouches,autre
ne pas entendre une mouche voler,langage
ne pas faire de mal à une mouche,morale
prendre la mouche,émotion
quelle mouche l’a piqué ?,émotion
tomber comme des mouches,état_physique
bouc émissaire,autre
brebis galeuse,autre
comme des moutons de Panurge,comportement
être un mouton,comportement
doux comme un mouton,autre
doux comme un agneau,autre
faire devenir chèvre,émotion
ménager la chèvre et le chou,autre
revenir à ses moutons,temps_espace
se laisser manger la laine sur le dos,autre
un mouton à cinq pattes,autre
manger comme un moineau,alimentation
tirer sa poudre aux moineaux,autre
une cervelle de moineau,cognition
une tête de linotte,cognition
avoir un appétit d’oiseau,alimentation
des noms d’oiseaux,langage
l’oiseau s’est envolé,comportement
un oiseau de mauvais augure,autre
un oiseau de nuit,comportement
un oiseau rare,quantité_valeur
une cervelle d’oiseau,autre
vivre comme l’oiseau sur la branche,autre
à tire-d’aile,temps_espace
avoir du plomb dans l’aile,problème
avoir un coup dans l’aile,problème
avoir un fil à la patte,autre
battre de l’aile,problème
clore le bec à quelqu’un,langage
défendre bec et ongles,comportement
faire la roue,morale
laisser quelqu’un le bec dans l’eau,émotion
perdre des plumes,problème
rabattre le caquet à quelqu’un,langage
ronger les ailes à quelqu’un,social
roupie de sansonnet,quantité_valeur
se brûler les ailes,désir
se dresser sur les ergots,émotion
tordre le cou à quelqu’un,autre
une prise de bec,social
un blanc-bec,autre
voler de ses propres ailes,autre
bête comme une oie,cognition
une oie blanche,autre
une patte d’oie,apparence
un ours mal léché,autre
fier comme un paon,morale
être bavard comme une pie,langage
bailler comme une carpe,capacité
boire la mer et ses poissons,désir
comme un poisson dans l’eau,autre
comme un poisson hors de l’eau,état_physique
être serrés comme des anchois,autre
être serrés comme des sardines,autre
faire une queue de poisson,autre
finir en queue de poisson,autre
ignorant comme une carpe,cognition
il y a anguille sous roche,cognition
jeune chair et vieux poisson,social
menu fretin,autre
muet comme une carpe,langage
ni chair ni poisson,cognition
être laid comme un pou,apparence
être sale comme un pou,comportement
fier comme un pou,morale
chercher des poux à quelqu’un,autre
avoir la puce à l’oreille,cognition
mettre la puce à l’oreille,cognition
secouer les puces à quelqu’un,langage
crier comme un putois,autre
être fait comme un rat,problème
être rat,morale
face de rat,apparence
la montagne accouche d’une souris,autre
un vieux renard,cognition
rusé comme un renard,cognition
avaler des couleuvres,autre
être paresseux comme une couleuvre,comportement
réchauffer un serpent dans son sein,morale
une langue de vipère,langage
faire le singe,comportement
malin comme un singe,cognition
payer en monnaie de singe,autre
méchant comme une teigne,morale
à pas de tortue,temps_espace
nu comme un ver,autre
pas piqué des vers,autre
pas piqué des hannetons,autre
courir comme un zèbre,temps_espace
