chengyu,mot_clef,literal_keyword_category,label_principal,labels_secondaires,label_final,labels,人生,冲动,分类,品格,外貌,态度,恐惧,情感,状态,社会,积累,能力,行为,言语,认知,评价,身体,道德
交口称誉,口,身体部位,社会评价/声誉,称赞;舆论,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
金口玉言,口,身体部位,言语/表达,权威;智慧,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
绝口不道,口,身体部位,沉默/保密,言语;回避,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
口碑载道,口,身体部位,社会评价/声誉,称赞;广泛传播,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
口不言钱,口,身体部位,品格/态度,廉洁;克制,品格,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
口不应心,口,身体部位,心理/认知冲突,言语;不一致,情感,"['情感', '言语']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
口齿伶俐,口;齿,身体部位,言语/表达能力,流利;机敏,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
口出狂言,口,身体部位,言语/表达,冲动;不当言论,言语,"['冲动', '言语']",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
口恶心善,口,身体部位,品格/性格,善良;直率,品格,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
口耳之学,口;耳,身体部位,知识/认知,不可靠;浅薄,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
口干舌燥,口;舌,身体部位,身体/生理状态,疲劳;过度言语,身体,['身体'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
口讲指画,口;指,身体部位,言语/表达方式,动作辅助;说明,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
口角春风,口,身体部位,社会评价/人际关系,称赞;支持,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
口角生风,口,身体部位,言语/表达能力,流利;熟练,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
口口声声,口,身体部位,言语/表达,重复;强调,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
口蜜腹剑,口,身体部位,道德/品格,虚伪;阴险,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
口如悬河,口,身体部位,言语/表达能力,流畅;雄辩,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
口是心非,口,身体部位,心理/认知冲突,虚伪;不一致,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
口说无凭,口,身体部位,认知/证据,不可靠;缺乏证据,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
口血未干,口,身体部位,道德/行为评价,背信;违约,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
口燥唇干,口;唇,身体部位,身体/生理状态,疲劳;徒劳言语,身体,['身体'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
口中雌黄,口,身体部位,言语/表达,随意;不负责任,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
口诛笔伐,口;笔,身体部位/工具,言语/表达,批评;攻击,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
苦口婆心,口,身体部位,行为/态度,劝导;关怀,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
脍炙人口,口,身体部位,社会评价/声誉,流行;广泛传播;称赞,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
琅琅上口,口,身体部位,言语/表达特性,流畅;易读,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
良药苦口,口,身体部位,认知/价值判断,劝诫;真理;负面感受,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
骂不绝口,口,身体部位,言语/表达,攻击;持续;负面评价,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
满口称赞,口,身体部位,社会评价/声誉,称赞;积极评价,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
免开尊口,口,身体部位,行为/交际策略,礼貌;拒绝;替代行动,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
讷口敏行,口,身体部位,行为/品格,少言;行动力强,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
讷口少言,口,身体部位,行为/品格,沉默;内敛,行为,"['行为', '言语']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
弄口鸣舌,口;舌,身体部位,言语/行为,挑拨;制造矛盾,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
贫嘴薄舌,嘴;舌,身体部位,言语/表达,尖刻;多话;负面评价,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
破口大骂,口,身体部位,言语/表达,攻击;情绪失控;辱骂,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
钳口不言,口,身体部位,沉默/保密,回避;压抑表达,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
七嘴八舌,嘴;舌,身体部位,言语/表达,混乱;多人发言;嘈杂,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
轻口薄舌,口;舌,身体部位,言语/表达,轻率;尖刻;负面评价,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
人多嘴杂,嘴,身体部位,社会/群体行为,意见分歧;复杂性,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
任口胡说,口,身体部位,言语/表达,随意;不负责任;错误信息,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
如出一口,口,身体部位,言语/表达,一致;统一意见,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
三缄其口,口,身体部位,沉默/保密,克制;谨慎,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
杀人灭口,口,身体部位,行为/暴力行为,掩盖;消除证据,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
矢口不移,口,身体部位,言语/表达,坚持;不改变,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
矢口抵赖,口,身体部位,言语/表达,否认;推卸责任,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
守口如瓶,口,身体部位,沉默/保密,谨慎;守密,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
授人口实,口,身体部位,社会/交互行为,被批评;被攻击;失误,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
素口骂人,口,身体部位,言语/表达,攻击;虚伪;负面评价,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
笑口常开,口,身体部位,情绪/状态,愉快;友好,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
信口开河,口,身体部位,言语/表达,随意;夸张;不真实,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
哑口无言,口,身体部位,困境/无言以对,惊讶;无法回应,状态,['状态'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
掩口而笑,口,身体部位,行为/情绪表达,含蓄;克制;愉悦,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
养家糊口,口,身体部位,经济/生存行为,家庭责任;谋生,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
一口咬定,口,身体部位,言语/表达,坚持;立场;不改变,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
引为口实,口,身体部位,社会/交互行为,借口;利用;辩解,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
油嘴滑舌,嘴;舌,身体部位,言语/表达,虚伪;花言巧语;负面评价,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
有口难辩,口,身体部位,困境/无辩解能力,言语;表达;受限,状态,"['状态', '言语']",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
砸嘴弄舌,嘴;舌,身体部位,言语/表达,花言巧语;炫耀;不真实,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
张口结舌,口;舌,身体部位,困境/无言以对,惊讶;无法回应,状态,['状态'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
众口难调,口,身体部位,社会/群体行为,意见分歧;难以满足,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
众口烁金,口,身体部位,社会/认知影响,舆论;影响力;谣言,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
众口一词,口,身体部位,言语/表达,一致;统一意见,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
众口纷纭,口,身体部位,言语/表达,混乱;多种说法;不一致,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
嘴上无毛,嘴,身体部位,身份/年龄评价,年轻;缺乏经验,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
赤膊上阵,膊,身体部位,行为/行动,直接;公开;无掩饰,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
割臂之盟,臂,身体部位,社会/关系行为,承诺;忠诚;秘密关系,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
使臂使指,臂;指,身体部位,行为/能力,控制;指挥;高效,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
失之交臂,臂,身体部位,机会/结果,错过;遗憾,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
一臂之力,臂,身体部位,社会/合作行为,帮助;支持,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
髀肉复生,髀;肉,身体部位,状态/人生处境,懒散;虚度时间,状态,['状态'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
冰肌玉骨,肌;骨,身体部位,外貌/审美评价,美丽;纯洁,外貌,['外貌'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
酒池肉林,肉,食物/身体元素,社会/行为方式,放纵;奢靡;享乐,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
酒肉朋友,肉,食物/身体元素,社会/关系类型,浅薄关系;享乐关系,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
沦肌浃髓,肌;髓,身体部位,心理/感受,深刻影响;强烈体验,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
肉食者鄙,肉,食物/身体元素,社会/身份评价,权贵;狭隘;无能,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
弱肉强食,肉,食物/身体元素,社会/自然法则,竞争;强者优势,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
肉袒面缚,肉,身体部位,行为/社会行为,投降;认错;屈服,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
肉眼凡胎,肉;眼,身体部位,认知/能力评价,普通;局限;无洞察力,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
食肉寝皮,肉;皮,身体部位/食物,情绪/态度,仇恨;报复,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
剜肉补疮,肉,身体部位,行为/问题处理,错误方法;短视;负面后果,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
白发苍苍,发,身体部位,外貌/年龄特征,衰老;年老,外貌,['外貌'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
白发红颜,发,身体部位,外貌/年龄评价,健康;反差;活力,外貌,['外貌'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
发指眦裂,发;眦,身体部位,情绪/状态,愤怒;极端情绪,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
燎发摧枯,发,身体部位,能力/结果,轻易;高效;压倒性,能力,['能力'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
令人发指,发,身体部位,情绪/社会评价,愤怒;震惊;谴责,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
怒发冲冠,发,身体部位,情绪/状态,愤怒;激烈,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
发短心长,发,身体部位,认知/能力评价,经验;智慧;成熟,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
捉襟见肘,肘,身体部位,困境/资源不足,困难;不足;局限,状态,['状态'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
包藏祸心,心,身体部位,道德/品格,恶意;阴谋;不良动机,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
别具匠心,心,身体部位,评价/创造力,独创性;创新;设计感,评价,['评价'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
别有用心,心,身体部位,意图/动机,隐藏目的;不良动机;算计,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
不得人心,心,身体部位,社会/评价,不受欢迎;失去支持;负面声誉,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
财迷心窍,心,身体部位,心理/状态,贪婪;被欲望控制;失去理智,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
恻隐之心,心,身体部位,情感/道德情感,同情;怜悯;共情,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
茶饭无心,心,身体部位,心理/状态,心不在焉;忧虑;情绪低落,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
敞开心扉,心,身体部位,言语/表达,坦诚;开放;情感表达,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
臣心如水,心,身体部位,道德/品格,清廉;正直;无私,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
称心如意,心,身体部位,情感/状态,满足;如愿;幸福感,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
诚心诚意,心,身体部位,态度/品格,真诚;诚恳;无虚假,态度,['态度'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
痴心妄想,心,身体部位,认知/错误认知,幻想;不切实际;非理性期望,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
赤子之心,心,身体部位,品格/情感,纯真;善良;真诚,品格,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
赤心报国,心,身体部位,社会/价值观,爱国;忠诚;责任感,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
处心积虑,心,身体部位,认知/策略,谋划;算计;长期计划,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
椎心泣血,心,身体部位,情感/强烈情绪,悲痛;极度痛苦;哀伤,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
从心所欲,心,身体部位,行为/自主性,随意;自由;按意愿行动,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
粗心大意,心,身体部位,认知/注意力,疏忽;不专心;粗心,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
摧心剖肝,心;肝,身体部位,情感/强烈情绪,痛苦;悲伤;精神折磨,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
大快人心,心,身体部位,情感/集体情绪,痛快;满意;公众认同,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
大得人心,心,身体部位,社会/评价,受欢迎;获得支持;声望,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
大发善心,心,身体部位,情感/道德情感,善良;怜悯;同情,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
悼心失图,心,身体部位,认知/决策受损,悲伤影响判断;计划失败,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
得心应手,心;手,身体部位,能力/技能掌控,熟练;顺手;高效,能力,['能力'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
掉以轻心,心,身体部位,认知/态度,轻视;疏忽;不重视,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
定下决心,心,身体部位,认知/决策,决心;意志;坚定选择,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
动人心魄,心,身体部位,情感/强烈情绪,震撼;感动;情绪冲击,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
动人心弦,心,身体部位,情感/情绪触发,感动;共鸣;情绪唤起,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
独出心裁,心,身体部位,认知/创造力,创新;独特;构思新颖,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
费尽心机,心,身体部位,认知/策略,谋划;算计;用尽手段,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
费心劳力,心,身体部位,行为/投入程度,付出;努力;辛苦,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
抚心自问,心,身体部位,认知/自我反思,反省;内省;自我审视,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
高下在心,心,身体部位,认知/判断,权衡;判断;内在把握,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
攻心为上,心,身体部位,策略/心理战,心理影响;操控;战略,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
钩心斗角,心,身体部位,社会/人际关系,算计;争斗;勾心斗角,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
蛊惑人心,心,身体部位,认知/操控,误导;煽动;操纵思想,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
归心似箭,心,身体部位,情感/动机,思乡;急切;回归愿望,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
鬼迷心窍,心,身体部位,认知/异常状态,迷惑;失去理智;执念,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
寒心酸鼻,心,身体部位,情感/负面情绪,悲伤;失望;痛苦,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
好心好意,心,身体部位,情感/态度,善意;好意;真诚,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
怀恨在心,心,身体部位,情感/负面情绪,怨恨;记仇;不满,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
灰心丧气,心,身体部位,情感/心理状态,沮丧;失去信心;消极,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
回心转意,心,身体部位,认知/决策变化,改变主意;转变立场,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
会心一笑,心,身体部位,情感/认知共鸣,理解;默契;心领神会,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
蕙质兰心,心,身体部位,品格/气质,高雅;纯洁;美好品质,品格,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
计上心来,心,身体部位,认知/生成过程,灵感;突发想法;策略形成,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
觊觎之心,心,身体部位,动机/欲望,贪欲;觊觎;占有欲,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
见财起心,心,身体部位,动机/道德偏差,贪念;犯罪动机;诱惑,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
见猎心喜,心,身体部位,情感/兴趣,热情;兴奋;兴趣激活,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
江心补漏,心,身体部位,行为/时机错误,为时已晚;补救无效,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
将心比心,心,身体部位,社会/伦理原则,同理心;换位思考;公平,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
匠心独运,心,身体部位,认知/创造力,创新;独特设计;匠心,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
降心相从,心,身体部位,社会/行为调整,让步;顺从;放弃立场,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
锦心绣腹,心;腹,身体部位,认知/才华,文采;才华;表达能力,认知,"['能力', '认知']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
尽心竭力,心,身体部位,行为/投入程度,尽力;努力;全力以赴,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
惊心动魄,心,身体部位,情感/强烈情绪,震撼;惊恐;强烈感受,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
精心策划,心,身体部位,认知/规划,计划;设计;精细安排,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
居心叵测,心,身体部位,动机/道德评价,恶意;不良企图;隐藏动机,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
空心架子,心,身体部位,评价/本质特征,空洞;无实质;虚有其表,评价,['评价'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
空心汤团,心,身体部位,评价/价值判断,空想;无收益;虚假承诺,评价,['评价'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
扣人心弦,心,身体部位,情感/触发机制,感动;吸引;情绪共鸣,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
苦心经营,心,身体部位,行为/长期投入,努力;经营;持续付出,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
苦心孤诣,心,身体部位,认知/成就过程,钻研;专注;达到高水平,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
兰形棘心,心,身体部位,评价/表里不一,虚伪;外表美好内心恶劣,评价,['评价'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
冷心冷面,心,身体部位,情感/态度,冷漠;无情;不动情,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
力不从心,心,身体部位,能力/限制,能力不足;力不从心;无能为力,能力,['能力'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
理亏心虚,心,身体部位,认知/心理状态,心虚;缺乏信心;有错在先,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
离心离德,心,身体部位,社会/关系状态,分裂;不忠;不一致,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
利欲熏心,心,身体部位,动机/道德偏差,贪婪;利益驱动;道德沦丧,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
良工心苦,心,身体部位,认知/创造过程,用心;精心;创作艰辛,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
聊表寸心,心,身体部位,情感/表达程度,表达心意;有限表达;谦辞,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
笼络人心,心,身体部位,社会/操控,拉拢;获取支持;影响他人,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
